invoice-number;branch;city;type-user;gender;category;cost of goods sold;sale;date;time;payment;review
279-62-1445;C;Houston;Member;Female;Fashion accessories;$ 1.254;$ 13.167;2/21/2019;12:38;Cash;8.2
213-72-6612;A;Nueva York;Normal;Male;Food and beverages;$ 865;$ 90.825;3/20/2019;15:56;Cash;6.2
746-68-6593;C;Houston;Member;Female;Sports and travel;$ 17.432;$ 183.036;1/11/2019;14:29;Credit card;9.7
836-82-5858;B;Chicago;Member;Male;Health and beauty;$ 62.433;$ 6.555.465;1/26/2019;19:14;Ewallet;4
583-72-1480;C;Houston;Member;Male;Electronic accessories;$ 14.824;$ 155.652;1/31/2019;16:24;Ewallet;9.7
466-61-5506;B;Chicago;Member;Female;Electronic accessories;$ 5.442;$ 57.141;2/26/2019;10:52;Cash;5.3
721-86-6247;A;Nueva York;Normal;Female;Home and lifestyle;$ 50.736;$ 532.728;3/11/2019;12:55;Ewallet;7.4
289-65-5721;B;Chicago;Normal;Female;Fashion accessories;$ 16.274;$ 170.877;1/26/2019;19:28;Cash;6.5
545-46-3100;B;Chicago;Member;Female;Electronic accessories;$ 3.177;$ 333.585;3/12/2019;13:52;Credit card;8.7
418-02-5978;B;Chicago;Normal;Female;Health and beauty;$ 75.681;$ 7.946.505;2/11/2019;10:54;Cash;8
269-04-5750;B;Chicago;Member;Male;Fashion accessories;$ 29.528;$ 310.044;2/21/2019;18:31;Cash;6.7
157-13-5295;A;Nueva York;Member;Male;Health and beauty;$ 5.194;$ 54.537;3/9/2019;18:24;Ewallet;6.5
645-78-8093;A;Nueva York;Normal;Female;Sports and travel;$ 18.628;$ 195.594;1/20/2019;18:09;Ewallet;4.1
211-30-9270;C;Houston;Normal;Male;Health and beauty;$ 8.705;$ 914.025;1/28/2019;15:16;Credit card;4.9
755-12-3214;C;Houston;Member;Female;Fashion accessories;$ 2.211;$ 232.155;3/5/2019;17:07;Credit card;8.6
346-84-3103;B;Chicago;Member;Female;Electronic accessories;$ 661;$ 69.405;3/2/2019;19:26;Cash;4.3
478-06-7835;A;Nueva York;Normal;Male;Fashion accessories;$ 8.969;$ 941.745;1/11/2019;11:20;Ewallet;4.9
540-11-4336;A;Nueva York;Normal;Male;Food and beverages;$ 22.446;$ 235.683;1/11/2019;16:49;Credit card;5.6
448-81-5016;A;Nueva York;Normal;Male;Health and beauty;$ 11.954;$ 125.517;3/11/2019;12:01;Credit card;5.8
142-72-4741;C;Houston;Member;Male;Fashion accessories;$ 1.864;$ 19.572;2/28/2019;18:37;Credit card;6
217-58-1179;A;Nueva York;Member;Male;Home and lifestyle;$ 2.506;$ 26.313;1/5/2019;11:25;Cash;4.2
376-02-8238;B;Chicago;Normal;Male;Home and lifestyle;$ 75.096;$ 788.508;2/2/2019;18:42;Credit card;8.3
530-90-9855;A;Nueva York;Member;Male;Home and lifestyle;$ 38.072;$ 399.756;1/1/2019;14:47;Cash;5.7
866-05-7563;B;Chicago;Member;Female;Electronic accessories;$ 2.442;$ 25.641;2/9/2019;19:43;Cash;4.8
604-70-6476;A;Nueva York;Member;Male;Fashion accessories;$ 897;$ 94.185;1/23/2019;14:04;Ewallet;6.8
799-71-1548;A;Nueva York;Member;Male;Electronic accessories;$ 31.088;$ 326.424;1/7/2019;16:11;Credit card;8.8
785-13-7708;B;Chicago;Normal;Male;Food and beverages;$ 51.142;$ 536.991;1/14/2019;19:06;Credit card;4.2
845-51-0542;B;Chicago;Member;Male;Food and beverages;$ 41.895;$ 4.398.975;2/2/2019;15:34;Ewallet;6.4
662-47-5456;C;Houston;Member;Male;Fashion accessories;$ 3.519;$ 369.495;3/17/2019;19:06;Credit card;8.4
883-17-4236;C;Houston;Normal;Female;Sports and travel;$ 2.878;$ 30.219;3/2/2019;19:44;Credit card;7.2
290-68-2984;A;Nueva York;Normal;Male;Home and lifestyle;$ 95;$ 9.975;3/16/2019;11:22;Cash;5.2
704-11-6354;A;Nueva York;Member;Male;Home and lifestyle;$ 4.712;$ 49.476;1/6/2019;11:23;Cash;8.9
110-48-7033;B;Chicago;Member;Male;Fashion accessories;$ 13.048;$ 137.004;1/29/2019;14:12;Cash;9
366-93-0948;A;Nueva York;Member;Male;Electronic accessories;$ 6.635;$ 696.675;1/31/2019;10:46;Credit card;9.7
729-09-9681;A;Nueva York;Member;Male;Home and lifestyle;$ 15.546;$ 163.233;2/5/2019;10:16;Ewallet;8.7
151-16-1484;A;Nueva York;Member;Male;Electronic accessories;$ 129;$ 13.545;2/13/2019;12:38;Ewallet;6.5
380-94-4661;C;Houston;Member;Male;Electronic accessories;$ 26.376;$ 276.948;2/7/2019;13:05;Credit card;6.9
850-41-9669;A;Nueva York;Normal;Female;Electronic accessories;$ 67.554;$ 709.317;3/19/2019;13:25;Ewallet;6.2
821-07-3596;C;Houston;Normal;Female;Fashion accessories;$ 658;$ 6.909;3/7/2019;14:53;Ewallet;5.6
655-85-5130;B;Chicago;Member;Female;Fashion accessories;$ 1.532;$ 16.086;3/13/2019;19:22;Cash;5.7
447-15-7839;A;Nueva York;Member;Female;Sports and travel;$ 2.224;$ 23.352;2/9/2019;11:00;Cash;4.2
154-74-7179;B;Chicago;Normal;Male;Sports and travel;$ 5.445;$ 571.725;2/26/2019;19:24;Ewallet;7.9
253-12-6086;A;Nueva York;Member;Female;Sports and travel;$ 6.888;$ 72.324;3/12/2019;12:43;Credit card;8.7
808-65-0703;C;Houston;Normal;Male;Home and lifestyle;$ 14.188;$ 148.974;3/14/2019;17:22;Credit card;6.9
571-94-0759;B;Chicago;Member;Female;Food and beverages;$ 746;$ 7.833;1/8/2019;20:55;Cash;9.5
144-51-6085;A;Nueva York;Member;Male;Home and lifestyle;$ 28.296;$ 297.108;1/5/2019;16:05;Credit card;4.4
731-14-2199;A;Nueva York;Member;Female;Home and lifestyle;$ 3.554;$ 37.317;1/4/2019;13:34;Ewallet;7
783-09-1637;B;Chicago;Normal;Female;Sports and travel;$ 33.715;$ 3.540.075;3/6/2019;18:13;Ewallet;6.3
687-15-1097;C;Houston;Member;Female;Health and beauty;$ 4.224;$ 44.352;1/3/2019;19:17;Cash;9.7
126-54-1082;A;Nueva York;Member;Female;Home and lifestyle;$ 19.386;$ 203.553;1/7/2019;11:44;Credit card;8.8
633-91-1052;A;Nueva York;Normal;Female;Home and lifestyle;$ 2.406;$ 25.263;1/27/2019;15:51;Cash;5.1
477-24-6490;B;Chicago;Normal;Female;Health and beauty;$ 59.826;$ 628.173;2/26/2019;16:52;Ewallet;7.9
566-19-5475;B;Chicago;Normal;Male;Fashion accessories;$ 33.579;$ 3.525.795;1/7/2019;20:52;Cash;6.2
526-86-8552;C;Houston;Member;Female;Home and lifestyle;$ 2.182;$ 22.911;1/7/2019;17:36;Cash;7.1
376-56-3573;C;Houston;Normal;Female;Fashion accessories;$ 38.168;$ 400.764;2/2/2019;13:23;Ewallet;6.4
537-72-0426;C;Houston;Member;Male;Fashion accessories;$ 7.099;$ 745.395;3/20/2019;16:28;Cash;5.7
828-61-5674;A;Nueva York;Member;Male;Sports and travel;$ 4.402;$ 46.221;3/20/2019;19:57;Credit card;9.6
136-08-6195;A;Nueva York;Normal;Female;Home and lifestyle;$ 55.968;$ 587.664;2/15/2019;17:01;Credit card;6.4
523-38-0215;C;Houston;Normal;Male;Home and lifestyle;$ 37;$ 3.885;3/6/2019;13:29;Credit card;7.9
490-29-1201;A;Nueva York;Normal;Female;Sports and travel;$ 1.534;$ 16.107;1/6/2019;11:09;Cash;6.5
667-92-0055;A;Nueva York;Member;Male;Health and beauty;$ 59.898;$ 628.929;3/4/2019;15:02;Ewallet;8.5
565-17-3836;A;Nueva York;Member;Female;Health and beauty;$ 19.068;$ 200.214;3/12/2019;14:21;Cash;9.1
498-41-1961;B;Chicago;Normal;Male;Health and beauty;$ 3.334;$ 35.007;2/20/2019;18:01;Cash;7.6
593-95-4461;C;Houston;Member;Male;Home and lifestyle;$ 7.486;$ 78.603;3/24/2019;14:49;Cash;6.9
226-71-3580;C;Houston;Normal;Female;Sports and travel;$ 21.375;$ 2.244.375;1/31/2019;12:02;Cash;9.5
283-79-9594;B;Chicago;Normal;Female;Food and beverages;$ 33.957;$ 3.565.485;1/25/2019;13:30;Credit card;5.2
430-60-3493;A;Nueva York;Member;Female;Home and lifestyle;$ 66.416;$ 697.368;2/3/2019;14:38;Cash;4.2
139-20-0155;B;Chicago;Member;Male;Electronic accessories;$ 403;$ 42.315;1/24/2019;17:37;Credit card;7
558-80-4082;C;Houston;Normal;Male;Electronic accessories;$ 19.495;$ 2.046.975;3/14/2019;17:20;Ewallet;6
278-97-7759;A;Nueva York;Member;Female;Electronic accessories;$ 6.248;$ 65.604;2/18/2019;20:29;Cash;4.7
316-68-6352;A;Nueva York;Member;Female;Food and beverages;$ 7.272;$ 76.356;1/21/2019;10:00;Cash;7.1
585-03-5943;B;Chicago;Normal;Male;Health and beauty;$ 1.811;$ 190.155;3/13/2019;11:46;Ewallet;5.9
211-05-0490;C;Houston;Member;Female;Electronic accessories;$ 2.596;$ 27.258;3/3/2019;13:42;Cash;7.5
727-75-6477;C;Houston;Normal;Male;Electronic accessories;$ 11.536;$ 121.128;3/29/2019;14:44;Cash;6.4
744-02-5987;A;Nueva York;Member;Male;Home and lifestyle;$ 47.028;$ 493.794;1/10/2019;14:16;Ewallet;5.8
307-83-9164;A;Nueva York;Member;Male;Home and lifestyle;$ 24.004;$ 252.042;1/25/2019;15:54;Cash;4.5
779-06-0012;C;Houston;Member;Female;Home and lifestyle;$ 8.861;$ 930.405;1/19/2019;10:21;Cash;7.7
446-47-6729;C;Houston;Normal;Male;Fashion accessories;$ 19.964;$ 209.622;1/2/2019;18:09;Credit card;6.7
573-10-3877;B;Chicago;Member;Male;Health and beauty;$ 3.901;$ 409.605;3/12/2019;16:46;Credit card;4.7
735-06-4124;C;Houston;Normal;Male;Food and beverages;$ 4.861;$ 510.405;2/25/2019;15:31;Cash;4.4
439-54-7422;A;Nueva York;Normal;Female;Electronic accessories;$ 20.476;$ 214.998;3/18/2019;17:15;Credit card;4.7
396-90-2219;B;Chicago;Normal;Female;Electronic accessories;$ 11.968;$ 125.664;2/23/2019;12:29;Cash;8.6
411-77-0180;A;Nueva York;Member;Male;Electronic accessories;$ 5.054;$ 53.067;3/26/2019;20:14;Ewallet;4.3
286-01-5402;A;Nueva York;Normal;Female;Sports and travel;$ 28.161;$ 2.956.905;3/30/2019;13:22;Cash;9.6
803-17-8013;A;Nueva York;Member;Female;Home and lifestyle;$ 71.032;$ 745.836;2/17/2019;17:09;Cash;4.1
512-98-1403;A;Nueva York;Member;Female;Electronic accessories;$ 7.944;$ 83.412;3/21/2019;10:40;Ewallet;4.7
848-42-2560;A;Nueva York;Normal;Female;Fashion accessories;$ 16.382;$ 172.011;3/5/2019;17:43;Cash;7.8
532-59-7201;B;Chicago;Member;Male;Sports and travel;$ 47.958;$ 503.559;1/31/2019;14:04;Cash;5.5
181-94-6432;C;Houston;Member;Male;Fashion accessories;$ 13.866;$ 145.593;2/5/2019;19:05;Ewallet;9.7
870-76-1733;A;Nueva York;Member;Female;Food and beverages;$ 7.115;$ 747.075;2/1/2019;10:08;Credit card;4.4
423-64-4619;A;Nueva York;Member;Female;Health and beauty;$ 13.995;$ 1.469.475;3/7/2019;13:12;Cash;5
227-07-4446;C;Houston;Member;Female;Electronic accessories;$ 7.813;$ 820.365;2/10/2019;20:51;Cash;4.4
174-36-3675;C;Houston;Member;Male;Food and beverages;$ 19.874;$ 208.677;2/14/2019;17:29;Cash;5.2
428-83-5800;C;Houston;Member;Female;Food and beverages;$ 6.324;$ 66.402;2/9/2019;10:25;Cash;7.3
603-07-0961;C;Houston;Member;Male;Electronic accessories;$ 37.395;$ 3.926.475;1/10/2019;11:34;Cash;4.9
704-20-4138;C;Houston;Member;Female;Health and beauty;$ 20.769;$ 2.180.745;3/11/2019;18:58;Credit card;8.1
787-15-1757;C;Houston;Member;Male;Health and beauty;$ 17.628;$ 185.094;2/18/2019;16:28;Ewallet;8.4
649-11-3678;C;Houston;Normal;Female;Food and beverages;$ 20.637;$ 2.166.885;2/26/2019;20:26;Cash;5.5
622-20-1945;C;Houston;Normal;Female;Health and beauty;$ 3.942;$ 41.391;1/18/2019;15:08;Cash;8.4
372-94-8041;A;Nueva York;Normal;Male;Health and beauty;$ 9.156;$ 96.138;2/15/2019;18:03;Ewallet;9.8
563-91-7120;A;Nueva York;Normal;Female;Fashion accessories;$ 30.885;$ 3.242.925;3/8/2019;13:21;Cash;6.7
746-54-5508;A;Nueva York;Normal;Male;Home and lifestyle;$ 12.912;$ 135.576;1/17/2019;12:48;Credit card;9.4
276-54-0879;B;Chicago;Normal;Male;Sports and travel;$ 39.096;$ 410.508;3/12/2019;19:53;Ewallet;6.4
815-11-1168;A;Nueva York;Member;Male;Food and beverages;$ 4.989;$ 523.845;3/9/2019;19:09;Cash;5.4
719-76-3868;C;Houston;Member;Male;Food and beverages;$ 37.704;$ 395.892;3/12/2019;16:30;Cash;8.6
730-61-8757;B;Chicago;Member;Male;Health and beauty;$ 20.452;$ 214.746;1/25/2019;10:11;Credit card;4
340-66-0321;A;Nueva York;Member;Male;Electronic accessories;$ 14.544;$ 152.712;3/25/2019;13:07;Cash;7.6
868-81-1752;B;Chicago;Normal;Male;Home and lifestyle;$ 19.818;$ 208.089;2/7/2019;18:48;Cash;6.8
634-97-8956;A;Nueva York;Normal;Male;Food and beverages;$ 987;$ 103.635;2/17/2019;17:27;Credit card;9.1
566-71-1091;A;Nueva York;Normal;Male;Fashion accessories;$ 3.851;$ 404.355;2/3/2019;15:59;Cash;5.5
442-48-3607;A;Nueva York;Member;Male;Food and beverages;$ 4.696;$ 49.308;3/14/2019;11:21;Credit card;7.9
835-16-0096;C;Houston;Member;Male;Sports and travel;$ 735;$ 77.175;3/24/2019;13:48;Ewallet;8.5
527-09-6272;A;Nueva York;Member;Female;Electronic accessories;$ 14.225;$ 1.493.625;3/21/2019;10:17;Credit card;9.1
898-04-2717;A;Nueva York;Normal;Male;Fashion accessories;$ 6.876;$ 72.198;3/19/2019;15:49;Ewallet;7.5
692-27-8933;B;Chicago;Normal;Female;Sports and travel;$ 3.477;$ 365.085;2/24/2019;13:02;Cash;5.2
633-09-3463;C;Houston;Normal;Female;Electronic accessories;$ 14.295;$ 1.500.975;3/28/2019;12:58;Credit card;9.5
374-17-3652;B;Chicago;Member;Female;Food and beverages;$ 38.538;$ 404.649;2/5/2019;15:26;Credit card;8.9
378-07-7001;B;Chicago;Member;Male;Electronic accessories;$ 14.427;$ 1.514.835;2/10/2019;18:23;Credit card;7.8
433-75-6987;B;Chicago;Member;Female;Health and beauty;$ 39.179;$ 4.113.795;3/5/2019;19:06;Ewallet;8.9
873-95-4984;B;Chicago;Member;Female;Health and beauty;$ 5.383;$ 565.215;2/15/2019;20:21;Cash;7.7
416-13-5917;C;Houston;Normal;Female;Food and beverages;$ 48.515;$ 5.094.075;1/30/2019;16:24;Ewallet;9.3
150-89-8043;A;Nueva York;Normal;Male;Sports and travel;$ 13.395;$ 1.406.475;2/14/2019;15:04;Cash;6.2
135-84-8019;A;Nueva York;Normal;Female;Fashion accessories;$ 70.137;$ 7.364.385;2/27/2019;16:10;Ewallet;7.6
441-94-7118;A;Nueva York;Member;Male;Electronic accessories;$ 7.195;$ 755.475;2/4/2019;12:14;Cash;7.3
725-96-3778;C;Houston;Member;Female;Home and lifestyle;$ 714;$ 7.497;1/20/2019;10:13;Cash;4.7
531-80-1784;A;Nueva York;Normal;Male;Electronic accessories;$ 18.214;$ 191.247;3/28/2019;17:38;Cash;5.1
400-45-1220;B;Chicago;Normal;Female;Health and beauty;$ 135;$ 14.175;2/27/2019;11:06;Credit card;4.8
860-79-0874;C;Houston;Member;Female;Fashion accessories;$ 993;$ 104.265;2/15/2019;14:53;Credit card;6.6
834-61-8124;A;Nueva York;Normal;Male;Electronic accessories;$ 36.183;$ 3.799.215;1/26/2019;18:22;Cash;5.5
115-99-4379;B;Chicago;Member;Female;Fashion accessories;$ 38.311;$ 4.022.655;3/14/2019;19:02;Credit card;8.5
565-67-6697;B;Chicago;Member;Male;Home and lifestyle;$ 243;$ 25.515;3/2/2019;14:16;Cash;4.8
320-49-6392;C;Houston;Normal;Female;Electronic accessories;$ 3.024;$ 31.752;3/4/2019;15:44;Cash;8.4
889-04-9723;B;Chicago;Member;Female;Food and beverages;$ 35.656;$ 374.388;1/7/2019;12:20;Credit card;7.8
632-90-0281;C;Houston;Normal;Female;Fashion accessories;$ 3.755;$ 394.275;3/8/2019;20:01;Credit card;9.3
554-42-2417;C;Houston;Normal;Female;Sports and travel;$ 9.544;$ 100.212;1/9/2019;13:45;Cash;5.2
453-63-6187;B;Chicago;Normal;Male;Electronic accessories;$ 825;$ 86.625;3/1/2019;15:40;Ewallet;6.5
578-80-7669;B;Chicago;Normal;Male;Sports and travel;$ 7.497;$ 787.185;3/16/2019;16:58;Cash;5.6
612-36-5536;A;Nueva York;Member;Male;Food and beverages;$ 64.768;$ 680.064;2/17/2019;11:12;Credit card;7.4
605-72-4132;C;Houston;Normal;Female;Food and beverages;$ 75.576;$ 793.548;2/27/2019;15:12;Cash;9.1
471-41-2823;C;Houston;Normal;Male;Food and beverages;$ 19.958;$ 209.559;3/7/2019;20:37;Ewallet;8
462-67-9126;A;Nueva York;Normal;Male;Home and lifestyle;$ 43.932;$ 461.286;1/21/2019;17:44;Cash;7.2
272-27-9238;C;Houston;Normal;Female;Food and beverages;$ 16.496;$ 173.208;2/19/2019;16:23;Cash;7.1
834-25-9262;C;Houston;Normal;Female;Fashion accessories;$ 32.672;$ 343.056;1/6/2019;12:12;Cash;9.1
122-61-9553;C;Houston;Normal;Female;Electronic accessories;$ 46.188;$ 484.974;3/14/2019;19:33;Cash;5.6
468-88-0009;A;Nueva York;Member;Male;Home and lifestyle;$ 26.376;$ 276.948;3/24/2019;10:29;Cash;6
613-59-9758;C;Houston;Normal;Female;Sports and travel;$ 1.436;$ 15.078;1/27/2019;14:28;Cash;5.4
254-31-0042;A;Nueva York;Member;Male;Electronic accessories;$ 1.935;$ 203.175;3/6/2019;12:46;Credit card;7.8
201-86-2184;B;Chicago;Member;Female;Electronic accessories;$ 18.382;$ 193.011;2/2/2019;19:40;Cash;9.9
261-12-8671;B;Chicago;Normal;Female;Fashion accessories;$ 12.192;$ 128.016;1/25/2019;19:39;Credit card;4.9
730-70-9830;C;Houston;Normal;Female;Home and lifestyle;$ 42.066;$ 441.693;3/14/2019;17:54;Ewallet;5.2
382-25-8917;C;Houston;Normal;Male;Fashion accessories;$ 25.248;$ 265.104;1/29/2019;12:25;Cash;8.9
422-29-8786;A;Nueva York;Normal;Female;Home and lifestyle;$ 33.545;$ 3.522.225;1/3/2019;16:47;Credit card;9.1
667-23-5919;A;Nueva York;Member;Female;Fashion accessories;$ 4.835;$ 507.675;1/14/2019;12:52;Ewallet;7
843-01-4703;B;Chicago;Member;Female;Home and lifestyle;$ 31.842;$ 334.341;1/5/2019;19:50;Credit card;9.6
743-88-1662;C;Houston;Normal;Male;Sports and travel;$ 66.843;$ 7.018.515;2/22/2019;18:17;Ewallet;8.7
595-86-2894;C;Houston;Member;Male;Fashion accessories;$ 38.792;$ 407.316;2/6/2019;17:20;Ewallet;9.4
182-69-8360;B;Chicago;Normal;Female;Electronic accessories;$ 946;$ 9.933;1/30/2019;13:32;Credit card;4
289-15-7034;A;Nueva York;Member;Male;Sports and travel;$ 32.932;$ 345.786;1/11/2019;10:37;Credit card;7.5
462-78-5240;C;Houston;Normal;Female;Electronic accessories;$ 5.322;$ 55.881;3/19/2019;14:35;Cash;4.2
868-52-7573;B;Chicago;Normal;Female;Food and beverages;$ 49.845;$ 5.233.725;1/14/2019;12:09;Cash;9.9
153-58-4872;C;Houston;Member;Female;Food and beverages;$ 29.956;$ 314.538;3/1/2019;15:32;Ewallet;4.2
662-72-2873;A;Nueva York;Normal;Female;Food and beverages;$ 2.047;$ 214.935;1/6/2019;13:58;Ewallet;9.9
525-88-7307;B;Chicago;Member;Male;Sports and travel;$ 7.582;$ 79.611;1/31/2019;13:19;Cash;5.8
689-16-9784;C;Houston;Normal;Male;Food and beverages;$ 28.062;$ 294.651;3/11/2019;13:37;Cash;6
725-56-0833;A;Nueva York;Normal;Female;Health and beauty;$ 3.232;$ 33.936;2/20/2019;16:49;Credit card;10
394-41-0748;C;Houston;Member;Female;Fashion accessories;$ 48.663;$ 5.109.615;1/27/2019;14:55;Ewallet;9.5
596-42-3999;B;Chicago;Normal;Male;Food and beverages;$ 12.754;$ 133.917;3/10/2019;14:04;Credit card;6.6
541-89-9860;C;Houston;Member;Female;Fashion accessories;$ 24.144;$ 253.512;2/15/2019;12:31;Cash;8.1
173-82-9529;B;Chicago;Normal;Female;Fashion accessories;$ 3.795;$ 398.475;1/26/2019;14:51;Cash;9.7
563-36-9814;A;Nueva York;Member;Male;Electronic accessories;$ 7.682;$ 80.661;2/13/2019;18:27;Ewallet;7.2
308-47-4913;A;Nueva York;Member;Female;Sports and travel;$ 5.226;$ 54.873;3/9/2019;12:45;Credit card;6.2
885-17-6250;A;Nueva York;Normal;Female;Health and beauty;$ 7.974;$ 83.727;3/6/2019;10:36;Ewallet;7.3
726-27-2396;A;Nueva York;Normal;Female;Health and beauty;$ 3.875;$ 406.875;1/24/2019;20:36;Ewallet;4.3
316-01-3952;A;Nueva York;Normal;Female;Food and beverages;$ 27.135;$ 2.849.175;3/13/2019;14:16;Ewallet;4.6
760-54-1821;B;Chicago;Normal;Male;Home and lifestyle;$ 12.231;$ 1.284.255;3/15/2019;10:26;Cash;5.8
793-10-3222;B;Chicago;Member;Female;Health and beauty;$ 24.636;$ 258.678;3/5/2019;13:30;Credit card;8.3
346-12-3257;B;Chicago;Member;Male;Electronic accessories;$ 17.316;$ 181.818;3/4/2019;16:28;Cash;8
110-05-6330;C;Houston;Normal;Female;Food and beverages;$ 23.658;$ 248.409;3/25/2019;20:18;Credit card;9.4
651-61-0874;C;Houston;Normal;Male;Home and lifestyle;$ 18.488;$ 194.124;3/12/2019;20:04;Credit card;6.2
236-86-3015;C;Houston;Member;Male;Home and lifestyle;$ 1.398;$ 14.679;2/4/2019;13:38;Ewallet;9.8
831-64-0259;B;Chicago;Normal;Female;Fashion accessories;$ 19.875;$ 2.086.875;2/22/2019;10:43;Ewallet;9.6
587-03-7455;C;Houston;Member;Female;Fashion accessories;$ 68.453;$ 7.187.565;2/16/2019;17:30;Ewallet;4.9
882-40-4577;A;Nueva York;Member;Male;Sports and travel;$ 26.904;$ 282.492;1/19/2019;15:28;Credit card;8
732-67-5346;A;Nueva York;Normal;Male;Food and beverages;$ 6.895;$ 723.975;1/11/2019;19:07;Credit card;7.8
725-32-9708;B;Chicago;Member;Female;Fashion accessories;$ 27.484;$ 288.582;1/4/2019;19:01;Cash;4.1
256-08-8343;A;Nueva York;Normal;Female;Home and lifestyle;$ 22.612;$ 237.426;3/4/2019;19:48;Ewallet;5.5
372-26-1506;C;Houston;Normal;Female;Fashion accessories;$ 1.191;$ 125.055;1/28/2019;19:24;Ewallet;5.4
244-08-0162;B;Chicago;Normal;Female;Health and beauty;$ 3.421;$ 359.205;1/2/2019;13:00;Cash;5.1
569-71-4390;B;Chicago;Normal;Male;Sports and travel;$ 4.374;$ 45.927;1/25/2019;14:29;Ewallet;6.9
132-23-6451;A;Nueva York;Member;Male;Health and beauty;$ 10.485;$ 1.100.925;1/4/2019;13:21;Cash;7.8
696-90-2548;A;Nueva York;Normal;Male;Sports and travel;$ 7.752;$ 81.396;3/10/2019;18:55;Ewallet;6.6
472-15-9636;A;Nueva York;Normal;Male;Home and lifestyle;$ 40.744;$ 427.812;3/22/2019;19:36;Ewallet;9.2
268-03-6164;B;Chicago;Normal;Male;Health and beauty;$ 9.611;$ 1.009.155;1/25/2019;16:28;Ewallet;7.8
750-57-9686;C;Houston;Normal;Female;Home and lifestyle;$ 18.152;$ 190.596;1/8/2019;13:48;Credit card;8.7
186-09-3669;C;Houston;Member;Female;Health and beauty;$ 8.151;$ 855.855;1/22/2019;10:57;Ewallet;9.2
848-07-1692;B;Chicago;Normal;Female;Health and beauty;$ 11.444;$ 120.162;1/12/2019;17:13;Ewallet;8.3
745-71-3520;A;Nueva York;Member;Female;Electronic accessories;$ 17.654;$ 185.367;2/4/2019;10:23;Cash;8.2
266-76-6436;C;Houston;Member;Female;Food and beverages;$ 1.158;$ 12.159;3/28/2019;13:57;Ewallet;7.5
740-22-2500;C;Houston;Normal;Female;Electronic accessories;$ 25.215;$ 2.647.575;1/23/2019;13:29;Cash;9.8
271-88-8734;C;Houston;Member;Female;Fashion accessories;$ 9.721;$ 1.020.705;2/8/2019;13:00;Credit card;8.7
301-81-8610;B;Chicago;Member;Male;Fashion accessories;$ 20.336;$ 213.528;3/19/2019;19:42;Credit card;6.7
489-64-4354;C;Houston;Normal;Male;Fashion accessories;$ 1.628;$ 17.094;3/9/2019;15:36;Cash;5
198-84-7132;B;Chicago;Member;Male;Fashion accessories;$ 36.549;$ 3.837.645;1/2/2019;13:40;Cash;7
269-10-8440;A;Nueva York;Member;Male;Health and beauty;$ 37.219;$ 3.907.995;1/21/2019;18:01;Cash;8.9
650-98-6268;B;Chicago;Member;Female;Food and beverages;$ 6.261;$ 657.405;3/20/2019;13:53;Credit card;8
741-73-3559;B;Chicago;Normal;Male;Sports and travel;$ 33.635;$ 3.531.675;2/27/2019;17:27;Cash;6.9
325-77-6186;A;Nueva York;Member;Female;Home and lifestyle;$ 9.065;$ 951.825;3/8/2019;10:53;Ewallet;7.3
286-75-7818;B;Chicago;Normal;Male;Fashion accessories;$ 13.816;$ 145.068;1/31/2019;19:48;Credit card;6.9
574-57-9721;C;Houston;Normal;Male;Food and beverages;$ 8.654;$ 90.867;3/8/2019;16:53;Ewallet;5.7
459-50-7686;A;Nueva York;Normal;Female;Electronic accessories;$ 14.076;$ 147.798;1/13/2019;19:14;Ewallet;6.4
616-87-0016;B;Chicago;Normal;Male;Fashion accessories;$ 66.878;$ 702.219;3/9/2019;14:36;Credit card;9.6
837-55-7229;B;Chicago;Normal;Female;Fashion accessories;$ 4.744;$ 49.812;2/22/2019;18:19;Credit card;6.8
751-69-0068;C;Houston;Normal;Male;Sports and travel;$ 89.316;$ 937.818;3/19/2019;19:09;Ewallet;9
257-73-1380;C;Houston;Member;Male;Sports and travel;$ 33.172;$ 348.306;1/20/2019;16:51;Ewallet;9.6
345-08-4992;A;Nueva York;Normal;Male;Home and lifestyle;$ 20.394;$ 214.137;3/8/2019;15:37;Credit card;7.7
549-96-4200;C;Houston;Member;Male;Food and beverages;$ 6.816;$ 71.568;3/8/2019;20:15;Ewallet;7
810-60-6344;C;Houston;Normal;Female;Electronic accessories;$ 32.688;$ 343.224;2/7/2019;14:38;Credit card;6.5
450-28-2866;C;Houston;Member;Male;Food and beverages;$ 872;$ 9.156;1/15/2019;19:25;Cash;8.1
394-30-3170;B;Chicago;Member;Female;Sports and travel;$ 70.744;$ 742.812;3/22/2019;19:35;Credit card;4.3
138-17-5109;A;Nueva York;Member;Female;Home and lifestyle;$ 80.289;$ 8.430.345;1/15/2019;15:42;Credit card;6.5
192-98-7397;C;Houston;Normal;Male;Fashion accessories;$ 1.278;$ 13.419;1/8/2019;14:11;Ewallet;9.5
301-11-9629;A;Nueva York;Normal;Female;Sports and travel;$ 1.337;$ 140.385;1/15/2019;10:43;Cash;9.7
390-80-5128;B;Chicago;Member;Female;Health and beauty;$ 1.915;$ 201.075;1/28/2019;17:58;Credit card;9.5
235-46-8343;C;Houston;Member;Male;Food and beverages;$ 2.766;$ 29.043;2/14/2019;11:26;Credit card;8.9
